time_s,total_load_kw,total_queue,bus_0_soc,bus_1_soc,bus_2_soc,bus_3_soc,bus_4_soc,bus_0_charging,bus_1_charging,bus_2_charging,bus_3_charging,bus_4_charging
3180,240.0,4,62.66530261373988,63.66379336516822,27.111111111111057,0.0,24.944444444444375,0,0,1,1,0
3182,240.0,4,62.61533596431044,63.619800205047994,27.166666666666618,0.0,24.99999999999993,0,0,1,1,0
3184,240.0,4,62.56536931488098,63.57580704492778,27.222222222222175,0.0,25.055555555555486,0,0,1,1,0
3186,240.0,4,62.51540266545154,63.53181388480756,27.27777777777773,0.0,25.11111111111104,0,0,1,1,0
3188,240.0,4,62.46543601602209,63.48782072468734,27.333333333333286,0.0,25.166666666666593,0,0,1,1,0
3190,240.0,4,62.415469366592646,63.44382756456712,27.388888888888847,0.0,25.22222222222215,0,0,1,1,0
3192,240.0,4,62.36550271716319,63.399834404446906,27.444444444444404,0.0,25.277777777777704,0,0,1,1,0
3194,240.0,4,62.315536067733746,63.35584124432668,27.499999999999964,0.0,25.333333333333265,0,0,1,1,0
3196,240.0,4,62.2655694183043,63.31184808420647,27.55555555555552,0.0,25.388888888888815,0,0,1,1,0
3198,240.0,4,62.215602768874845,63.26785492408625,27.611111111111082,0.0,25.44444444444437,0,0,1,1,0
3200,240.0,4,62.1656361194454,63.22386176396603,27.66666666666664,0.0,25.49999999999993,0,0,1,1,0
3202,240.0,4,62.11566947001595,63.17986860384581,27.722222222222197,0.0,25.555555555555483,0,0,1,1,0
3204,240.0,4,62.06570282058651,63.135875443725595,27.777777777777757,0.0,25.61111111111104,0,0,1,1,0
3206,240.0,4,62.01573617115705,63.09188228360537,27.833333333333314,0.0,25.666666666666593,0,0,1,1,0
3208,240.0,4,61.96576952172761,63.047889123485156,27.888888888888875,0.0,25.722222222222147,0,0,1,1,0
3210,240.0,4,61.915802872298165,63.00389596336494,27.944444444444432,0.0,25.777777777777704,0,0,1,1,0
3212,240.0,4,61.86583622286872,62.95990280324472,27.999999999999993,0.0,25.833333333333258,0,0,1,1,0
3214,240.0,4,61.815869573439265,62.9159096431245,28.05555555555555,0.0,25.88888888888882,0,0,1,1,0
3216,240.0,4,61.76590292400982,62.871916483004284,28.111111111111104,0.0,25.944444444444372,0,0,1,1,0
3218,240.0,4,61.71593627458037,62.82792332288406,28.16666666666666,0.0,25.999999999999922,0,0,1,1,0
3220,240.0,4,61.66596962515093,62.783930162763845,28.22222222222222,0.0,26.055555555555483,0,0,1,1,0
3222,240.0,4,61.61600297572147,62.73993700264363,28.27777777777778,0.0,26.111111111111036,0,0,1,1,0
3224,240.0,4,61.56603632629203,62.695943842523405,28.33333333333334,0.0,26.166666666666593,0,0,1,1,0
3226,240.0,4,61.516069676862585,62.65195068240319,28.388888888888896,0.0,26.222222222222147,0,0,1,1,0
3228,240.0,4,61.46610302743313,62.60795752228297,28.444444444444457,0.0,26.2777777777777,0,0,1,1,0
3230,240.0,4,61.416136378003685,62.56396436216275,28.500000000000014,0.0,26.333333333333258,0,0,1,1,0
3232,240.0,4,61.366169728574235,62.519971202042534,28.55555555555557,0.0,26.38888888888881,0,0,1,1,0
3234,240.0,4,61.31620307914479,62.47597804192232,28.611111111111132,0.0,26.444444444444372,0,0,1,1,0
3236,240.0,4,61.266236429715335,62.431984881802094,28.66666666666669,0.0,26.499999999999922,0,0,1,1,0
3238,240.0,4,61.21626978028589,62.38799172168188,28.72222222222225,0.0,26.555555555555475,0,0,1,1,0
3240,240.0,4,61.16630313085645,62.34399856156166,28.777777777777807,0.0,26.611111111111036,0,0,1,1,0
3242,240.0,4,61.116336481427005,62.30000540144144,28.833333333333368,0.0,26.66666666666659,0,0,1,1,0
3244,240.0,4,61.116336481427005,62.25601224132122,28.888888888888925,0.0,26.722222222222147,0,0,1,1,0
3246,240.0,4,61.06636983199755,62.21201908120101,28.94444444444448,0.0,26.777777777777708,0,0,1,1,0
3248,240.0,4,61.016403182568105,62.16802592108078,29.000000000000036,0.0,26.833333333333265,0,0,1,1,0
3250,240.0,4,60.966436533138655,62.12403276096057,29.055555555555596,0.0,26.888888888888822,0,0,1,1,0
3252,240.0,4,60.91646988370921,62.08003960084035,29.111111111111153,0.0,26.944444444444382,0,0,1,1,0
3254,240.0,4,60.866503234279755,62.03604644072013,29.166666666666714,0.0,26.99999999999994,0,0,1,1,0
3256,240.0,4,60.81653658485031,61.99205328059991,29.22222222222227,0.0,27.0555555555555,0,0,1,1,0
3258,240.0,4,60.76656993542087,61.948060120479695,29.277777777777832,0.0,27.111111111111057,0,0,1,1,0
3260,240.0,4,60.71660328599141,61.90406696035947,29.33333333333339,0.0,27.166666666666618,0,0,1,1,0
3262,240.0,4,60.66663663656197,61.860073800239256,29.388888888888946,0.0,27.222222222222175,0,0,1,1,0
3264,240.0,4,60.61666998713252,61.81608064011904,29.444444444444507,0.0,27.27777777777773,0,0,1,1,0
